ID,Floy tag number,Date tagged,Release Time,Trap ID,Zone,Trap depth (m),Floy reward amount,Total length (cm),Weight (g),Release location,Notes,Recapture date,Report date,Fate,Method,Reported location,Reported length,Reported weight,Photo verification Y/N,Return/report notes
150,7413,5/30/23,9:38,CARP5-Z2-70,2,,100,83.5,4500,CARP5-Z2-70,,,,,,,,,,
151,7507,5/30/23,9:55,CARP5-Z2-210,2,8.7,0,71,2200,CARP5-Z2-210,temp 6.7C,,,,,,,,,
152,7414,5/30/23,10:10,CARP5-Z2-27,2,8.8,100,54,1150,CARP5-Z2-27,temp 5.6C,,,,,,,,,
153,7506,5/30/23,10:32,CARP5-Z2-167,2,10,100,74,3000,CARP5-Z2-167,temp 5.3C,,,,,,,,,
154,7505,5/30/23,11:53,CARP5-Z2-98,2,8.1,0,49,1250,CARP5-Z2-98,temp 6.6C,,,,,,,,,
155,7415,5/30/23,12:19,CARP5-Z2-69,2,9,100,90,6000,CARP5-Z2-69,temp 6.7C,,,,,,,,,
156,7504,5/30/23,12:38,CARP5-Z2-120,2,9,0,64,2050,CARP5-Z2-120,temp 5.6C,,,,,,,,,
157,7416,5/31/23,9:34,CARP5-Z1-163,1,6.5,100,54,1050,CARP5-Z1-163,temp 8.6C,,,,,,,,,
158,7502,5/31/23,9:55,CARP5-Z1-198,1,7.1,0,56,1300,CARP5-Z1-198,temp 8.5C,,,,,,,,,
159,7417,5/31/23,10:02,CARP5-Z1-179,1,10,100,59.5,1500,CARP5-Z1-179,temp 7.7C,,,,,,,,,
160,7500,5/31/23,10:15,CARP5-Z1-214,1,10,0,56,1150,CARP5-Z1-214,temp 5.9C,,,,,,,,,
161,7419,5/31/23,10:32,CARP5-Z1-57,1,10,100,88.5,5000,CARP5-Z1-57,temp 7.1C,,,,,,,,,
162,7499,5/31/23,10:31,CARP5-Z1-57,1,10,0,59,1700,CARP5-Z1-57,temp 7.1C,,,,,,,,,
163,7421,6/1/23,9:20,CARP5-Z3-209,3,,100,59,1300,CARP5-Z3-209,temp 5.0C,6/14/23,6/14/23,released,cod trap ,CARP7-Z3-27,58,1250,NA,"recaptured by research team in the same zone as release. Depth 9.8m, temp 9.4C"
164,7498,6/1/23,9:22,CARP5-Z3-209,3,,0,70,2100,CARP5-Z3-209,temp 5.0C,,,,,,,,,
165,7422,6/1/23,,CARP5-Z3-140,3,,100,57,1250,CARP5-Z3-140,,,,,,,,,,
166,7497,6/1/23,,CARP5-Z3-35,3,,0,77,3950,CARP5-Z3-35,temp 6.1C,,,,,,,,,
167,7423,6/1/23,9:54,CARP5-Z3-73,3,,100,57,1200,CARP5-Z3-73,temp 5.3C,,,,,,,,,
168,7511,6/1/23,10:10,CARP5-Z3-76,3,,0,73,2800,CARP5-Z3-76,temp 5.0C,6/25/23,6/25/23,harvested,setline,White Spruce Island,75.5,2650,NA,recovered via Creel Survey
169,7424,6/1/23,10:35,CARP5-Z3-48,3,,100,64,1800,CARP5-Z3-48,temp 8.1C,,,,,,,,,
170,7512,6/1/23,10:37,CARP5-Z3-48,3,,0,55,1450,CARP5-Z3-48,temp 8.1C,,,,,,,,,
171,7425,6/1/23,10:49,CARP5-Z3-138,3,,100,64.5,2000,CARP5-Z3-138,temp 7.6C,,,,,,,,,
172,7513,6/1/23,11:07,CARP5-Z3-96,3,,0,51,1150,CARP5-Z3-96,temp 7.6C,,,,,,,,,
173,7426,6/2/23,10:27,CARP5-Z4-146,4,,100,63,1750,CARP5-Z4-146,temp 5.6C,,,,,,,,,
174,7515,6/2/23,10:31,CARP5-Z4-146,4,,0,61.5,1650,CARP5-Z4-146,temp 5.6C,,,,,,,,,
175,7427,6/2/23,10:34,CARP5-Z4-146,4,,100,60,1650,CARP5-Z4-146,temp 5.6C,,,,,,,,,
