ID,Floy tag number,Date tagged,Release Time,Trap ID,Zone,Trap depth (m),Floy reward amount,Total length (cm),Weight (g),Release location,Notes,Recapture date,Report date,Fate,Method,Reported location,Reported length,Reported weight,Photo verification Y/N,Return/report notes
226,7283,6/15/23,10:01,CARP7-Z4-317,4,10.1,100,58.5,1600,CARP7-Z4-317,temp 10.0C,,,,,,,,,
227,7634,6/15/23,10:44,CARP7-Z4-190,4,9.6,0,55,1200,CARP7-Z4-190,temp 9.0C,,,,,,,,,
228,7284,6/15/23,10:47,CARP7-Z4-190,4,9.6,100,64.5,2100,CARP7-Z4-190,temp 9.0C,,,,,,,,,
229,7633,6/15/23,11:12,CARP7-Z4-204,4,10.3,0,59,1900,CARP7-Z4-204,temp 8.0C,,,,,,,,,
230,7285,6/15/23,11:24,CARP7-Z4-216,4,9.7,100,64,2000,CARP7-Z4-216,temp 7.8C,,,,,,,,,
231,7632,6/15/23,11:34,CARP7-Z4-280,4,10.3,0,59,1750,CARP7-Z4-280,temp 7.4C,,,,,,,,,
232,7286,6/15/23,11:46,CARP7-Z4-118,4,10.4,100,66,2250,CARP7-Z4-118,temp 8.1C,,,,,,,,,
233,7631,6/16/23,9:21,CARP7-Z1-137,1,9.8,0,61,2100,CARP7-Z1-137,,,,,,,,,,
234,7287,6/16/23,9:38,CARP7-Z1-16,1,9.9,100,58,1400,CARP7-Z1-16,,,,,,,,,,
235,7630,6/16/23,9:40,CARP7-Z1-16,1,9.9,0,66,2700,CARP7-Z1-16,,,,,,,,,,
236,7288,6/16/23,10:08,CARP7-Z1-209,1,9.4,100,61.5,1800,CARP7-Z1-209,,6/25/23,6/25/23,harvested,setline,between Bert's Cabin and burnt island,64.5,1700,Liz tag photo,recovered via Creel Survey
237,7629,6/16/23,10:16,CARP7-Z1-331,1,10.1,0,91,4800,CARP7-Z1-331,,,,,,,,,,
238,7289,6/16/23,11:00,CARP7-Z1-222,1,8.9,100,92,6100,CARP7-Z1-222,,,,,,,,,,
