Easting UTM (ZONE 10:NAD 83),Northing UTM (ZONE 10:NAD 83),Personnel,Set Date,Set Time,Pull Date,Pull Time,Total Effort Hours,Water Temp C at Set,Water Temp C at Pull,Depth at Box (m),Lead Height (m),No. Burbot,NSC,CSU,LSU,PCC,RSC,RB,Sampling Efficiency,Site Description,Set Weather,Comments
541700,5992312,RS/CG,8/2/00,11:00,8/3/00,11:30,24.5,19,21,2.0,6',0,1,,,,,,1,"West end, NW shore, into outlet bay as it starts to narrow","overcast, lt. wind, ~18o",Very poor catch.  Funnel appears OK.  Moved net ~20m west further into outlet channel and reset.
541677,5992308,RS/CG,8/3/00,12:20,8/4/00,13:40,25.3,21,24,2.0,6',1,4,1,,,,,1,"West of large hwy. landing, off N shore into outlet","pt. cloudy, calm, ~22o",Tied off for weekend
,,,,,,,594.6,,,,,13,691,358,29,56,4,0,,,,
548223,5996103,RS/CF,10/20/00,11:40,10/25/00,10:15,118.6,8,6,2.1,6',6,,16,6,1,,,1,"East end, out from small private property along NE shore ~125m","overcast, calm, rain, ~5o",
548223,5996103,RS/CF,10/25/00,11:00,10/30/00,12:00,121.0,6,5,2.1,6',9,1,4,2,,,,1,"East end, NE shore, out from private property ~125m.","overcast, lt. wind, drizzle, ~5o",Pulled and moved to west end.
546243,5994848,RS/CF,10/4/00,12:20,10/6/00,10:10,45.8,10,10,2.4,6',2,2,35,5,,,,2,"In narrows towards east end, mid-lake","sunny, calm, ~0o",One large NSC (~1.5kg)
546243,5994848,RS/CF,10/6/00,10:50,10/10/00,13:45,98.5,10,9,2.4,6',0,2,35,9,,,,1,"In narrows towards east end, mid-lake","sunny, lt. wind,  ~0o",
546243,5994848,RS/CF,10/10/00,14:10,10/12/00,10:00,43.8,9,9,2.4,6',4,1,10,5,,,,2,"In narrows towards east end, mid-lake","pt. cloudy, calm, ~8o",Move set.
,,,,,,,427.7,,,,,21,6,100,27,1,0,0,,,,
541742,5992384,RS/JY,11/6/00,14:20,11/8/00,12:00,45.7,5,5,3.0,6',2,,,,,,,1,"West end, off N shore of oulet mouth and large landing/pull over","overcast, lt. wind, ~5o",Pulled from Lake.  
,,,,,,,45.7,,,,,2,0,0,0,0,0,0,,,,
547933,5995254,RS/CF,10/12/00,11:45,10/16/00,10:25,94.7,9,8,3.5,6',0,,,,,,,1,"East end, off small willow/sedge point along S shore","sunny, lt. wind,  ~2o",Empty.  May have been tampered with as some lines appear to be tied differently at box.
547933,5995254,RS/CF,10/16/00,10:45,10/19/00,12:05,73.3,8,8,3.5,6',0,,6,2,,,,1,"East end, SE shore, out from a willow/sedge point","pt. cloudy, lt. wind, ~4o",
547933,5995254,RS/CF,10/19/00,12:25,10/20/00,10:30,142.1,8,8,3.5,6',0,,5,,,,,1,"East end, SE shore, out from a willow/sedge point","overcast, lt./mod. wind, ~6o",Pulled and moved.  One wing found to be non-functional upon pulling b/c of dead head in center lead.
,,,,,,,310.1,,,,,0,0,11,2,0,0,0,,,,
548637,5995452,RS/CF,10/19/00,15:45,10/25/00,11:15,139.5,8,6,4.2,14-18',7,4,34,2,,,,1,"East end, SE shore, ~25m out from a willow/sedge point","overcast, lt. wind, ~4o",Net has shifted from past days winds.  Pulled and moved.
549307,5995508,RS/CF,10/25/00,13:20,10/30/00,10:40,117.3,6,5,4.2,14-18',18,,2,3,1,,,2,"East end, SE corner, out from point at mouth to inlet","overcast, lt. wind, ~5o",
549307,5995508,RS/CF,10/30/00,11:45,11/2/00,10:00,70.2,5,6,4.2,14-18',24,1,3,,,,,3,"East end, SE corner, out from point at mouth to inlet","overcast, lt. wind, ~5o",Pulled and moved net to Park point.
