2000/01 Assessment of Burbot in Eaglet Lake,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix 5:  Minnow Trap Data,,,,,,,,,,,,,,,,,,,,,,,,,,
UTM (ZONE 10:NAD 83),,Personnel,Set,,Interim Check,,Pull,,Total Effort (hrs),Water Temp (oC),,Set Depth (m),Bait,Set Type,No. Burbot ,Incidental Fish,,,,,,,Sampling Efficiency,Site Description,Set Weather,Comments
Easting,Northing,,Date,Time,Date,Time,Date,Time,,Set,Pull,,,,,RSC,CC,NSC,SU,LDC,RB,SP,,,,
544061,5994647,RS/CF,9/26/00,14:35,,,10/2/00,9:58,139.4,8,7,0.7,FSH,BTM,0,,,,,,,,1,"In Creek that flows through Park, d/s of Giscome Hwy.","sunny, calm, 18o","Closest trap to Eaglet lake, below a BD"
544090,5994725,RS/CF,9/26/00,14:19,,,10/2/00,10:14,139.9,8,7,0.8,FSH,BTM,0,,,,,,2,,2,"In Creek that flows through Park, d/s of Giscome Hwy.","sunny, calm, 18o","Juveniles, 110 and 90mm.  Site is open and is deepest hole d/s of walking bridge."
544087,5994698,RS/CF,9/26/00,14:20,,,10/2/00,10:06,139.8,8,7,0.6,FSH,BTM,0,,,,,,,,1,"In Creek that flows through Park, d/s of Giscome Hwy.","sunny, calm, 18o",Many caddisfly larvae
544093,5994713,RS/CF,9/26/00,14:28,,,10/2/00,10:08,139.7,8,7,0.8,FSH,BTM,0,,,,1,,,,1,"In Creek that flows through Park, d/s of Giscome Hwy.","sunny, calm, 18o",Juvenile sucker. Caddisflies caught as well.
544801,5993944,RS/CF,10/6/00,12:43,,,10/11/00,14:07,121.4,10,9,0.4,SK,BTM,0,,,,,,,,1,"West end, along S shore across from Park, shallow area w/ lily pad and horsetail in area","sunny, lt./mod. wind, ~5o",
543710,5993443,RS/CF,10/6/00,13:11,,,10/11/00,13:35,120.4,10,9,1.0,SK,BTM,0,,,,,,,,1,"West end, along S shore across from boat launch, off rlwy. rip rap","sunny, lt./mod. wind, ~5o",
543686,5993409,RS/CF,10/6/00,13:15,,,10/11/00,13:38,120.4,10,9,0.1,SK,BTM,0,,,,1,,,,1,"West end, along S shore across from boat launch, on top of rlwy. rip rap in shallow water","sunny, lt./mod. wind, ~5o",
543644,5993337,RS/CF,10/6/00,13:21,,,10/11/00,13:44,120.4,10,9,0.3,SK,BTM,0,,,,1,,,,1,"West end, along S shore across from boat launch, on top of rlwy. rip rap in shallow water","sunny, lt./mod. wind, ~5o",
544723,5993917,RS/CF,10/6/00,12:53,,,10/11/00,13:17,120.4,10,9,1.5,SK,BTM,0,,,,,,,,1,"West end, along S shore across from Park, off rlwy. rip rap","sunny, lt./mod. wind, ~5o",
544599,5993856,RS/CF,10/6/00,13:00,,,10/11/00,13:27,120.5,10,9,0.6,SK,BTM,0,,1,,,,,,1,"West end, along S shore across from Park, on top of rlwy. rip rap in shallow water","sunny, lt./mod. wind, ~5o",
543598,5993261,RS/CF,10/6/00,13:24,,,10/11/00,13:48,120.4,10,9,0.6,SK,BTM,0,1,,,,,,,1,"West end, along S shore across from boat launch, on top of rlwy. rip rap in shallow water","sunny, lt./mod. wind, ~5o",
544656,5993877,RS/CF,10/6/00,12:57,,,10/11/00,13:21,120.4,10,9,0.3,SK,BTM,0,,,,,,,,1,"West end, along S shore across from Park, on top of rlwy. rip rap in shallow water","sunny, lt./mod. wind, ~5o",
544768,5993925,RS/CF,10/6/00,12:50,,,10/11/00,13:11,120.4,10,9,0.8,SK,BTM,0,,2,,,,,,1,"West end, along S shore across from Park, off rlwy. rip rap","sunny, lt./mod. wind, ~5o",
543656,5993359,RS/CF,10/6/00,13:17,,,10/11/00,13:40,120.4,10,9,1.2,SK,BTM,0,,,,,,,,1,"West end, along S shore across from boat launch at CV","sunny, lt./mod. wind, ~5o",
543421,5993420,CG/CF,10/11/00,14:29,,,10/13/00,12:00,45.5,9,9,0.3,NSC,BTM,0,,,,,,,,1,"West end, along N shore east of boat launch, off hwy. rip rap"," clear, lt. wind, ~2o",
542902,5994073,CG/CF,10/11/00,14:54,,,10/13/00,11:36,44.7,9,9,0.3,NSC,BTM,0,,,,,,,,1,"West end, along N shore, west of boat launch, off hwy. rip rap"," clear, lt. wind, ~2o",
543572,5994535,CG/CF,10/11/00,14:18,,,10/13/00,12:06,45.8,9,9,0.3,NSC,BTM,0,,,,,,,,1,"West end, along N shore east of boat launch, off hwy. rip rap"," clear, lt. wind, ~2o",
542932,5994110,CG/CF,10/11/00,14:50,,,10/13/00,11:39,44.8,9,9,0.3,NSC,BTM,0,,,,,,,,1,"West end, along N shore, west of boat launch, off hwy. rip rap"," clear, lt. wind, ~2o",
543502,5994511,CG/CF,10/11/00,14:23,,,10/13/00,12:03,45.7,9,9,0.5,NSC,BTM,0,,,,,,,,1,"West end, along N shore east of boat launch, off hwy. rip rap"," clear, lt. wind, ~2o",
542970,5994151,CG/CF,10/11/00,14:47,,,10/13/00,11:42,44.9,9,9,0.3,NSC,BTM,0,,,,,,,,1,"West end, along N shore, west of boat launch, off hwy. rip rap"," clear, lt. wind, ~2o",
543211,5994296,CG/CF,10/11/00,14:37,,,10/13/00,11:51,45.2,9,9,0.5,NSC,BTM,0,,,,,,,,1,"West end, along N shore east of boat launch, off hwy. rip rap"," clear, lt. wind, ~2o",
543311,5994421,CG/CF,10/11/00,14:32,,,10/13/00,11:56,45.4,9,9,0.3,NSC,BTM,0,,,,,,,,1,"West end, along N shore east of boat launch, off hwy. rip rap"," clear, lt. wind, ~2o",
543018,5994195,CG/CF,10/11/00,14:42,,,10/13/00,11:45,45.0,9,9,0.4,NSC,BTM,0,1,,,,,,,1,"West end, along N shore, west of boat launch, off hwy. rip rap"," clear, lt. wind, ~2o",
542860,5994049,CG/CF,10/11/00,14:57,,,10/13/00,11:30,44.5,9,9,0.3,NSC,BTM,0,,1,,,,,,1,"West end, along N shore, west of boat launch, off hwy. rip rap"," clear, lt. wind, ~2o",
546415,5994534,RS/CF,10/16/00,11:57,,,10/20/00,13:05,97.1,8,8,0.4,CTF,BTM,0,,,,,,,,1,"East end, south shore of narrows, tied to offshore bulrush, out from rlwy. rip rap","pt. cloudy, calm, ~4o",
546199,5994512,RS/CF,10/16/00,12:06,,,10/20/00,12:40,96.6,8,8,0.5,CTF,BTM,0,,,,,,,,1,"East end, south shore of narrows, tied to horsetail, lily pads and submergents in area","pt. cloudy, calm, ~4o",
546978,5995535,RS/CF,10/16/00,11:43,,,10/20/00,12:12,96.5,8,8,0.6,CTF,BTM,0,,,,,,,,1,"East end, along N shore east of narrows, tied to bulrush","pt. cloudy, calm, ~4o",
547112,5994851,RS/CF,10/16/00,11:15,,,10/20/00,11:56,96.7,8,8,0.5,CTF,BTM,0,,,,,,,,1,"East end, along SE shore, tied to bulrush","pt. cloudy, calm, ~4o",
547131,5995635,RS/CF,10/16/00,11:30,,,10/20/00,12:23,96.9,8,8,0.4,CTF,BTM,0,,,,,,,,1,"East end, along N shore east of narrows, tied to bulrush, heavy submergents in area","pt. cloudy, calm, ~4o",
547017,5995511,RS/CF,10/16/00,11:40,,,10/20/00,12:20,96.7,8,8,0.6,CTF,BTM,0,,,,,,,,1,"East end, along N shore east of narrows, tied to sedge grass","pt. cloudy, calm, ~4o",
546435,5994540,RS/CF,10/16/00,11:52,,,10/20/00,13:00,97.1,8,8,0.5,CTF,BTM,0,,,,,,,,1,"East end, south shore of narrows, tied to offshore bulrush, out from rlwy. rip rap","pt. cloudy, calm, ~4o",
546250,5994517,RS/CF,10/16/00,12:00,,,10/20/00,13:12,97.2,8,8,0.6,CTF,BTM,0,,,,,,,,1,"East end, south shore of narrows, tied to sedge/horsetail, lily pads and submerg. In area","pt. cloudy, calm, ~4o",
544586,5994981,RS/CF,10/17/00,10:32,,,10/20/00,13:25,74.9,9,8,0.6,PCC,BTM,0,,,,,,,,1,"East end, along N shore off hwy. rip rap, east of Park","overcast, shwrs., lt. wind, ~4o",
544662,5995008,RS/CF,10/17/00,10:36,,,10/20/00,13:20,74.7,9,8,0.5,PCC,BTM,0,,,,,,,,1,"East end, along N shore off hwy. rip rap, east of Park","overcast, shwrs., lt. wind, ~4o",
544312,5994908,RS/CF,10/17/00,10:10,,,10/20/00,13:35,75.4,9,8,0.5,PCC,BTM,0,,1,,,,,,1,"East end, along N shore off hwy. rip rap, east of Park","overcast, shwrs., lt. wind, ~4o",
544359,5994936,RS/CF,10/17/00,10:15,,,10/20/00,13:40,75.4,9,8,0.5,PCC,BTM,0,,,,,,,,1,"East end, along N shore off hwy. rip rap, east of Park","overcast, shwrs., lt. wind, ~4o",
544395,5994942,RS/CF,10/17/00,10:20,,,10/20/00,13:42,75.4,9,8,0.7,PCC,BTM,0,,1,,,,,,1,"East end, along N shore off hwy. rip rap, east of Park","overcast, shwrs., lt. wind, ~4o",
544441,5994955,RS/CF,10/17/00,10:23,,,10/20/00,13:30,75.1,9,8,1.2,PCC,BTM,0,,1,,,,,,1,"East end, along N shore off hwy. rip rap, east of Park","overcast, shwrs., lt. wind, ~4o",
544528,5994975,RS/CF,10/17/00,10:27,,,10/20/00,13:21,74.9,9,8,0.9,PCC,BTM,0,,,,,,,,1,"East end, along N shore off hwy. rip rap, east of Park","overcast, shwrs., lt. wind, ~4o",
,,,,,,,,,10065.9,,,,,,2,9,12,13,6,2,5,0,,,,
,,,,,,,,,,,,,,,,,,,,,,47,,,,
