2000/01 Assessment of Burbot in Eaglet Lake,,,,,,,,,,,,,,,,,,,
Appendix 4:  Box Trap Data,,,,,,,,,,,,,,,,,,,
UTM (ZONE 10:NAD 83),,Personnel,Set,,Pull,,Total Effort (hrs),Water Temp (oC),,Set Depth (m),Bait Type,Set Location,No. Burbot ,Incidental Fish,,Sampling Efficiency,Site Description,Set Weather,Comments
Easting,Northing,,Date,Time,Date,Time,,Set,Pull,,,,,Species,No.,,,,
543766,5993942,RS/CF,8/28/00,15:30,09/25/00,-,-,16,-,-,PCC/NSC,-,-,-,-,-,"Mid-lake, west end, south of boat launch","overcast, mod. wind, shwrs., ~15o",Trap lost when set.  Unsuccessful attempt to retrieve w/diver on 09/25/00.  Max. depth = 7.4m.
543857,5994142,RS/CF,8/28/00,15:17,8/31/00,11:45,69.3,16,16,3.8,PCC/NSC,M,2,NFC,0,4,"West end, off N shore, SE boat launch","overcast, mod. wind, shwrs., ~15o","Trap suspended ~half way down set rope.  Max. depth = 7.6m. One BB caught on 08/29, and the other on 08/31.  Put in fresh NSC bait on 08/30."
543111,5993369,RS/CF,9/5/00,12:50,9/6/00,12:00,23.2,15,16,3.3,PCC,M,0,PCC,1,2,"West end, mid-lake, SW of boat launch","pt. cloudy, windy, ~14o",Trap suspended ~half way down set rope. Max. depth = 7.5m.  
542517,5993611,RS/CF,9/6/00,12:10,9/7/00,11:50,23.7,16,14,3.7,PCC,M,0,NFC,0,1,"Off NW shore, south of small hwy. pull over","sunny, calm, ~15o",Trap suspended ~half way down set rope. Max. depth = 7.6m.  
542752,5993459,RS/CF,9/7/00,12:15,9/8/00,16:15,30.0,14,14,5.5,PCC,M,0,NFC,0,1,"Mid-lake, west end","overcast, shwrs., lt. wind, 12o",Trap suspended more than half way down set rope. Max. depth = 8.2m.  
544327,5994348,RS/CF,9/11/00,13:50,9/14/00,12:05,70.2,14,14,5.7,PCC,M,0,NFC,0,1,"Mid-lake, south of Park point","overcast, rain, lt. wind, ~6o",Trap suspended more than half way down set rope. Max. depth = 7.7m. Bait gone. 
544148,5994196,RS/CF,9/14/00,14:35,9/15/00,12:05,21.5,14,16,6.2,NSC,B,1,NFC,0,2,"Mid-lake, SW of Park point","pt. cloudy, lt. wind, ~18o",Trap suspended ~2.0m from bottom.. Max. depth = 8.2m. Bait gone. BB radio tagged.
543992,5994237,RS/CF,9/18/00,10:25,9/19/00,14:25,28.0,14,14,7.7,PCC,B,0,NFC,0,1,"Mid-lake, SW Park point","sunny, lt. wind, ~10o",One bait PCC gone
544256,5994382,RS/CF,9/19/00,14:35,9/20/00,13:18,22.7,14,13,3.6,PCC,M,0,NFC,0,1,"Mid-lake, south of Park point","pt. cloudy, lt. wind, ~15o",Trap suspended ~ half way down set rope. Max. depth = 7.3m. 
544467,5994482,RS/CF,9/20/00,13:20,9/21/00,11:30,22.2,13,12,7.3,PCC,B,0,NFC,0,1,"Mid-lake, SE of Park point","overcast, shwrs., lt. wind, ~8o",
544024,5993719,RS/CF,9/25/00,15:15,9/26/00,13:20,22.1,15,14,3.7,PCC/NSC,M,0,NFC,0,1,"West end, south shore, next to TN","sunny, calm, ~20o",Bait gone but one corner of trap was open.
543942,5993695,RS/CF,9/26/00,13:30,9/27/00,14:15,25.8,14,14,4.4,NSC,B,1,NFC,0,2,"West end, south shore, next to TN","sunny, calm, ~18o",Bait eaten.
544167,5994518,RS/CF,9/27/00,14:40,9/28/00,12:10,21.5,15,13,5.5,FSH,B,0,NFC,0,1,Off Park point,"sunny, calm, ~18o",
544335,5994337,RS/CF,9/28/00,12:25,10/2/00,14:20,97.9,13,12,6.6,PCC/NSC,B,0,NFC,0,1,"Off Park point, mid-lake","sunny, calm, ~15o",Trap suspended ~ 1.0m off btm. Max. depth = 7.6m.
544362,5994290,RS/CF,10/6/00,9:40,10/10/00,14:30,100.8,10,9,7.5,SK,B,0,NFC,0,1,"Off Park point, mid-lake","sunny, lt. wind, ~ -2o",Bait untouched.
544503,5994306,RS/CF,10/6/00,9:50,10/10/00,14:23,100.5,10,9,7.0,SK,B,0,NFC,0,1,"SE Park point, mid-lake","sunny, lt. wind, ~0o",Bait gone.
544525,5994511,RS/CF,10/11/00,10:50,10/12/00,14:20,27.5,9,10,7.0,NSC/PCC,B,0,NFC,0,1,"ESE Park point, mid-lake","fog, lt. wind, ~0o",
544377,5994483,RS/CF,10/11/00,10:30,10/12/00,14:10,27.7,9,10,7.0,NSC/PCC,B,1,NFC,0,2,"SE Park point, mid-lake","fog, lt. wind, ~0o","One BB, has eaten the PCC bait"
544480,5994818,RS/CF,10/12/00,14:25,10/13/00,10:45,20.3,10,8,4.5,PCC,B,2,NFC,0,4,"East of park point, next to large trap net","pt. cloudy, lt. wind, ~10o",One of two PCC bait eaten
546004,5994704,RS/CF,10/17/00,10:50,10/19/00,11:40,48.8,9,8,3.8,PCC,B,1,NFC,0,2,"SW of narrows, mid-lake","overcast, drizzle, lt. wind, ~5o",Two of four PCC bait gone
545832,5994708,RS/CF,10/17/00,11:00,10/19/00,11:35,48.5,9,8,4.3,PCC,B,0,NSC,1,2,"WSW of narrows, mid-lake","overcast, drizzle, lt. wind, ~5o",One of four PCC missing
546400,5994946,RS/CF,10/19/00,11:50,10/20/00,12:30,24.7,8,8,2.1,PCC,B,0,NSC,1,2,"West side of narrows, mid-lake ","overcast, lt./mod. wind, ~6o",Shallow set; notable submerg. in area
546824,5995080,RS/CF,10/19/00,12:00,10/20/00,11:50,23.8,8,8,2.0,PCC,B,0,NSC,1,2,"East of narrows, mid-lake","overcast, lt./mod. wind, ~6o",Shallow set; notable submerg. in area
,,,,,,,1518.4,,,,,,13,,6,,,,
