,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
west UTM,,"550,150","Mid-lake is ~545,945",,,,,,,,,,,,,,
east UTM,,"541,740",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Recaps,,,,,,,
,No. Burbot ,,Incidental Fish,,,,,,,09/06/00,TN,FL/PT,FY,00028,401D736C13,432,
Date,,Recaps,NSC,CSU,LSU,PCC,RSC,RB,,09/06/00,TN,FL/PT,FY,00045,401D607D51,386,
08/15/00,0,11,,,,,,,,,,,,,,,
08/16/00,0,3,,,,,,,,,,,,,,,
08/17/00,0,10,,,,,,,,,,,,,,,
08/18/00,0,0,,,,,,,,,,,,,,,
08/24/00,0,5,,,,,,,,,,,,,,,
08/30/00,20,260,,,,,,,,,,,,,,,
08/31/00,6,20,,,,,,,,,,,,,,,
09/03/00,15,57,,,,,,,,,,,,,,,
09/05/00,1,0,,,,,,,,,,,,,,,
09/06/00,11,41,,,,,,,,,,,,,,,
09/07/00,1,0,,,,,,,,,,,,,,,
09/08/00,9,128,,,,,,,,,,,,,,,
09/11/00,5,7,,,,,,,,,,,,,,,
09/14/00,9,10,,,,,,,,,,,,,,,
09/15/00,3,140,,,,,,,,,,,,,,,
09/18/00,8,5,,,,,,,,,,,,,,,
09/19/00,1,0,,,,,,,,,,,,,,,
09/20/00,2,4,,,,,,,,,,,,,,,
09/25/00,5,5,,,,,,,,,,,,,,,
09/26/00,4,0,,,,,,,,,,,,,,,
09/27/00,0,4,,,,,,,,,,,,,,,
09/28/00,0,3,,,,,,,,,,,,,,,
10/02/00,12,1,,,,,,,,,,,,,,,
10/04/00,7,0,,,,,,,,,,,,,,,
10/06/00,8,2,,,,,,,,,,,,,,,
10/10/00,13,0,,,,,,,,,,,,,,,
10/12/00,19,27,,,,,,,,,,,,,,,
10/16/00,23,0,,,,,,,,,,,,,,,
10/19/00,12,0,,,,,,,,,,,,,,,
10/20/00,0,0,,,,,,,,,,,,,,,
10/25/00,13,1,,,,,,,,,,,,,,,
10/30/00,27,1,,,,,,,,,,,,,,,
11/02/00,29,0,,,,,,,,,,,,,,,
11/06/00,12,0,,,,,,,,,,,,,,,
11/08/00,14,0,,,,,,,,,,,,,,,
