Trap #,Date Set (mm/dd/yy),Time Set,Date Pulled (mm/dd/yy),"Time 
Pulled",UTM Zone,UTM Easting,UTM Northing,"Trap 
Type", Bait ,"Depth
m",Temp C,"Secchi 
Depth m","Burbot 
Captured 
Y/N","No. Burbot 
Captured","Len 
(mm)",Wt (kg),"Girth 
(mm)","Tag 
applied 
(Y/N)","Tag No.
/ Colour","Recap 
(Y/N)","Tag No. 
/ Colour","Fate 
(D/L)",Decompression Stress (Y/N),Treatment,"Sacrificed 
(Y/N)","Sacrificied 
Code",Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
H-29,4-Jul-11,1028,6-Jul-11,1049,10U,477249,5986807,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,4-Jul-11,1354,6-Jul-11,1415,10U,477745,5987228,Hoop Trap L,NSC,2,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,4-Jul-11,1349,6-Jul-11,1410,10U,477496,5987354,Hoop Trap L,NSC,3,15,3,Y,1,250,0.3,100,Y,Orange FWPG 02609,N,,L,N,ROSB,N,,"Fish very small to be tagged. Was vigorous and healthy at release. Old bait removed, fresh bait added. NSC not kept for bait. Trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,4-Jul-11,0849,6-Jul-11,0910,10U,477416,5986435,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-91,4-Jul-11,0854,6-Jul-11,0915,10U,477527,5986451,Hoop Trap L,NSC,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,4-Jul-11,0903,6-Jul-11,0924,10U,477682,5986502,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23,4-Jul-11,0910,6-Jul-11,0931,10U,477804,5986623,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,6-Jul-11,0959,8-Jul-12,0928,10U,476803,5986501,Hoop Trap L,NSC,11,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,6-Jul-11,1007,8-Jul-12,0936,10U,476865,5986589,Hoop Trap L,NSC,10,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-17,6-Jul-11,1033,8-Jul-12,1002,10U,476983,5986527,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,6-Jul-11,0950,8-Jul-12,0919,10U,476735,5986484,Hoop Trap L,NSC,9.4,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21,6-Jul-11,1019,8-Jul-12,0948,10U,476911,5986499,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-7,6-Jul-11,1108,8-Jul-12,1037,10U,477607,5986653,Hoop Trap L,NSC,14.8,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-8,6-Jul-11,1227,8-Jul-12,1146,10U,477598,5987088,Hoop Trap L,NSC,11.9,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-9,6-Jul-11,1358,8-Jul-12,1327,10U,477594,5986756,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-11,6-Jul-11,1056,8-Jul-12,1025,10U,477467,5986603,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-13,6-Jul-11,0910,8-Jul-12,0839,10U,477261,5986421,Hoop Trap L,NSC,15.2,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-14,6-Jul-11,1040,8-Jul-12,1009,10U,477273,5986536,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-20,6-Jul-11,1118,8-Jul-12,1047,10U,477728,5986707,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-22,6-Jul-11,1406,8-Jul-12,1335,10U,477647,5986747,Hoop Trap L,NSC,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,6-Jul-11,1412,8-Jul-12,1341,10U,477672,5987033,Hoop Trap L,NSC,12,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,6-Jul-11,1109,8-Jul-12,1038,10U,477405,5986898,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,6-Jul-11,1204,8-Jul-12,1133,10U,477393,5987023,Hoop Trap L,NSC,11,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,6-Jul-11,1159,8-Jul-12,1128,10U,477256,5987146,Hoop Trap L,NSC,6,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,6-Jul-11,1055,8-Jul-12,1022,10U,477247,5986802,Hoop Trap L,NSC,13,15,3,Y,1,600,1.7,240,Y,Orange FWPG 02612,N,,L,N,ROSB,N,,"1 mortality, no vitals taken. Old bait and mortality removed, fresh bait added. Trap set in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,6-Jul-11,1421,8-Jul-12,1350,10U,477742,5987224,Hoop Trap L,NSC,2,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,6-Jul-11,1416,8-Jul-12,1344,10U,477497,5987351,Hoop Trap L,NSC,3,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,6-Jul-11,0915,8-Jul-12,0844,10U,477417,5986436,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-91,6-Jul-11,0922,8-Jul-12,0851,10U,477521,5986453,Hoop Trap L,NSC,14,15,3,Y,1,600,1.14,265,N,,N,,D,N,N/A,Y,127,"BB sacrificed. Old bait removed, new bait added. Trap reset in same general area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,6-Jul-11,0930,8-Jul-12,0859,10U,477684,5986505,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23,6-Jul-11,0937,8-Jul-12,0906,10U,477808,5986629,Hoop Trap L,NSC,15,15,3,Y,1,730,2.2,300,N,,N,,D,N,N/A,Y,131,"Reached 21 sacrifices, 4 remaining mortalities not sampled for vitals. Old bait and mortalities removed, fresh bait added. Trap set in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,8-Jul-12,0934,10-Jul-11,0838,10U,476807,5986505,Hoop Trap L,NSC,10,15,3,Y,1 of 2,400,0.69,190,Y,Orange FWPG 02620,N,,L,N,ROSB,N,," Both BB vigorus and healthy at release. Old bait removed, fresh bait added. Trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,8-Jul-12,0934,10-Jul-11,0838,10U,476807,5986505,Hoop Trap L,NSC,10,15,3,Y,2 of 2,390,0.69,180,Y,Orange FWPG 02619,N,,L,N,ROSB,N,,See above comments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,8-Jul-12,0942,10-Jul-11,0926,10U,476860,5986563,Hoop Trap L,NSC,10,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-17,8-Jul-12,1008,10-Jul-11,0941,10U,476986,5986543,Hoop Trap L,NSC,12,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,8-Jul-12,0925,10-Jul-11,0947,10U,476740,5986479,Hoop Trap L,NSC,10,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21,8-Jul-12,0955,10-Jul-11,0918,10U,476897,5986496,Hoop Trap L,NSC,12,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-7,8-Jul-12,1043,10-Jul-11,1132,10U,477600,5986639,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-8,8-Jul-12,1153,10-Jul-11,1336,10U,477582,5987072,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-9,8-Jul-12,1334,10-Jul-11,1236,10U,477568,5986687,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-11,8-Jul-12,1031,10-Jul-11,1126,10U,477443,5986599,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-13,8-Jul-12,0846,10-Jul-11,1012,10U,477258,5986411,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-14,8-Jul-12,1016,10-Jul-11,1116,10U,477256,5986531,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-20,8-Jul-12,1053,10-Jul-11,1040,10U,477715,5986630,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-22,8-Jul-12,1341,10-Jul-11,1429,10U,477533,5986358,Hoop Trap L,NSC,10,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,8-Jul-12,1347,10-Jul-11,1141,10U,477696,5986843,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,8-Jul-12,1044,10-Jul-11,1226,10U,477578,5986841,Hoop Trap L,NSC,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,8-Jul-12,1139,10-Jul-11,1347,10U,477555,5987123,Hoop Trap L,NSC,11,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,8-Jul-12,1134,10-Jul-11,1311,10U,477282,5987025,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,8-Jul-12,1028,10-Jul-11,1328,10U,477293,5986961,Hoop Trap L,NSC,10,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,8-Jul-12,1357,10-Jul-11,1322,10U,477321,5987113,Hoop Trap L,NSC,3.8,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,8-Jul-12,1350,10-Jul-11,1248,10U,477279,5987042,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,8-Jul-12,0849,10-Jul-11,1359,10U,477632,5986773,Hoop Trap L,NSC,3.6,13,3,Y,1,805,3.76,360,N,,N,,D,N,N/A,Y,126,"BB sacrificed. Old bait removed, new bait added. Trap reset in same general area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-91,8-Jul-12,0857,10-Jul-11,1418,10U,477518,5986608,Hoop Trap L,NSC,3.5,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,8-Jul-12,0904,10-Jul-11,1021,10U,477444,5986505,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23,8-Jul-12,0912,10-Jul-11,1032,10U,477728,5986587,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,10-Jul-11,0844,11-Jul-11,1315,10U,476800,5986510,Hoop Trap L,NSC,10,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,10-Jul-11,0931,11-Jul-11,1331,10U,476853,5986549,Hoop Trap L,3pc NSC,10,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-17,10-Jul-11,0948,11-Jul-11,1342,10U,476981,5986567,Hoop Trap L,4pc NSC,12,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,10-Jul-11,0953,11-Jul-11,1252,10U,476749,5986470,Hoop Trap L,NSC,10,16,3,Y,1,480,0.96,200,Y,Orange FWPG 02499,N,,L,N,ROSB,N,,Fish healthy and vigorous at release. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21,10-Jul-11,0925,11-Jul-11,1322,10U,476879,5986490,Hoop Trap L,4pc NSC,12,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-7,10-Jul-11,1139,12-Jul-11,0915,10U,477585,5986624,Hoop Trap L,NSC,15,15,3,Y,0,,,,,,,,,,,,,2 mortalities in trap.. Trap pulled for the season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-8,10-Jul-11,1344,12-Jul-11,1055,10U,477565,5987065,Hoop Trap L,4pc NSC,13,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-9,10-Jul-11,1241,12-Jul-11,1009,10U,477539,5987620,Hoop Trap L,NSC,15,15,3,Y,1,630,2.57,300,Y,Orange FWPG 02496,N,,L,N,ROSB,N,,1 mortality in trap. Live fish healthy and vigorous at release. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-11,10-Jul-11,1132,12-Jul-11,0903,10U,477421,5986591,Hoop Trap L,4pc NSC,15,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-13,10-Jul-11,1019,12-Jul-11,0813,10U,477243,5986409,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-14,10-Jul-11,1122,12-Jul-11,0900,10U,477240,5986521,Hoop Trap L,NSC,15,15,3,Y,0,,,,,,,,,,,,,1 mortality in trap. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,10-Jul-11,1047,12-Jul-11,0840,10U,477685,5986520,Hoop Trap L,4pc NSC,15,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-19,10-Jul-11,1435,12-Jul-11,1041,10U,477470,5987192,Hoop Trap L,NSC,10,16,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-20,10-Jul-11,1148,12-Jul-11,0917,10U,477759,5986681,Hoop Trap L,4pc NSC,15,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-22,10-Jul-11,1232,12-Jul-11,1022,10U,477664,5986810,Hoop Trap L,4pc NSC,14,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,10-Jul-11,1353,12-Jul-11,1102,10U,477725,5987171,Hoop Trap L,NSC,11,15,3,Y,1,450,0.94,170,Y,Orange FWPG 02495,N,,L,N,ROSB,N,,Fish healthy and vigorous at release. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,10-Jul-11,1317,12-Jul-11,1002,10U,477306,5986831,Hoop Trap L,NSC,13,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,10-Jul-11,1335,12-Jul-11,1035,10U,477363,5987065,Hoop Trap L,NSC,10,15,3,N,0,,,,,,,,,,,,,NBC. Trap pulled for season.,NSC,1,0,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,10-Jul-11,1329,12-Jul-11,1029,10U,477186,5987037,Hoop Trap L,NSC,3.8,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,10-Jul-11,1254,12-Jul-11,0955,10U,477186,5986749,Hoop Trap L,4pc NSC,13,15,3,Y,0,,,,,,,,,,,,,1 mortality. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,10-Jul-11,1405,12-Jul-11,1111,10U,477726,5987229,Hoop Trap L,NSC,3.6,13,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,10-Jul-11,1424,12-Jul-11,1050,10U,477512,5987332,Hoop Trap L,NSC,3.5,16,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,10-Jul-11,1028,12-Jul-11,0821,10U,477363,5986426,Hoop Trap L,4pc NSC,15,15,3,N,0,,,,,,,,,,,,,NFC. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-91,10-Jul-11,1038,12-Jul-11,0826,10U,477507,5986447,Hoop Trap L,NSC,15,15,3,Y,1,710,2.65,290,Y,Orange FWPG 02498,N,,L,N,ROSB,N,,Fish healthy and vigorous at release. Trap pulled for season.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
