Trap #,Date Set (mm/dd/yy),Time Set,Date Pulled (mm/dd/yy),"Time 
Pulled",UTM Zone,UTM Easting,UTM Northing,"Trap 
Type", Bait ,"Depth
m",Temp C,"Secchi 
Depth m","Burbot 
Captured 
Y/N","No. Burbot 
Captured","Len 
(mm)",Wt (kg),"Girth 
(mm)","Tag 
applied 
(Y/N)","Tag No.
/ Colour","Recap 
(Y/N)","Tag No. 
/ Colour","Fate 
(D/L)",Decompression Stress (Y/N),Treatment,"Sacrificed 
(Y/N)","Sacrificied 
Code",Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
H-22,28-Jun-11,1313,30-Jun-11,1342,10U,477643,5986745,Hoop Trap L,NSC,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,28-Jun-11,1320,30-Jun-11,1351,10U,477670,5987038,Hoop Trap L,NSC,12,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,28-Jun-11,1016,30-Jun-11,1044,10U,477400,5986895,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,28-Jun-11,1115,30-Jun-11,1146,10U,477393,5987029,Hoop Trap L,NSC,11,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,28-Jun-11,1109,30-Jun-11,1138,10U,477257,5987145,Hoop Trap L,NSC,5.5,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,28-Jun-11,0959,30-Jun-11,1028,10U,477241,5986801,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,28-Jun-11,1331,30-Jun-11,1400,10U,477749,5987228,Hoop Trap L,NSC,2,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,28-Jun-11,1325,30-Jun-11,1353,10U,477498,5987356,Hoop Trap L,NSC,3,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,28-Jun-11,0822,30-Jun-11,0850,10U,477411,5986434,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-91,28-Jun-11,0830,30-Jun-11,0859,10U,477528,5986458,Hoop Trap L,NSC,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,28-Jun-11,0837,30-Jun-11,0905,10U,477685,5986508,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23,28-Jun-11,0847,30-Jun-11,0916,10U,477804,5986620,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,30-Jun-11,0940,2-Jul-12,1030,10U,476809,5986509,Hoop Trap L,NSC,10.2,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,30-Jun-11,0950,2-Jul-12,1038,10U,476863,5986587,Hoop Trap L,NSC,10,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-17,30-Jun-11,1013,2-Jul-12,1102,10U,476983,5986522,Hoop Trap L,NSC,13,15,3,Y,1 of 2,560,1.59,260,N,,N,,D,N,N/A,Y,124,"Sacrificed. Old bait removed, fresh bait added. Trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-17,30-Jun-11,1013,2-Jul-12,1102,10U,476983,5986522,Hoop Trap L,NSC,13,15,3,Y,2 of 2,470,0.85,220,N,,N,,D,N,N/A,Y,125,"Sacrificed. Old bait removed, fresh bait added. Trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,30-Jun-11,0933,2-Jul-12,1022,10U,476739,5986485,Hoop Trap L,NSC,9.7,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21,30-Jun-11,1000,2-Jul-12,1048,10U,476914,5986493,Hoop Trap L,NSC,13.4,15,3,Y,1,540,1.48,240,Y,Orange FWPG 02613,N,,L,N,ROSB,N,,"Fish vigorous and healthy at release. Old bait removed, fresh bait added. Trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-7,30-Jun-11,1044,2-Jul-12,1135,10U,477605,5986653,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-8,30-Jun-11,1209,2-Jul-12,1258,10U,477594,5987086,Hoop Trap L,NSC,12,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-9,30-Jun-11,1341,2-Jul-12,1429,10U,477592,5986751,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-11,30-Jun-11,1039,2-Jul-12,1128,10U,477461,5986604,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-13,30-Jun-11,0848,2-Jul-12,0940,10U,477265,5986424,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-14,30-Jun-11,1023,2-Jul-12,1112,10U,477277,5986532,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-20,30-Jun-11,1159,2-Jul-12,1248,10U,477721,5986707,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-22,30-Jun-11,1349,2-Jul-12,1438,10U,477645,5986748,Hoop Trap L,NSC,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,30-Jun-11,1356,2-Jul-12,1445,10U,477672,5987039,Hoop Trap L,NSC,12,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,30-Jun-11,1051,2-Jul-12,1141,10U,477402,5986897,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,30-Jun-11,1152,2-Jul-12,1242,10U,477395,5987027,Hoop Trap L,NSC,11,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,30-Jun-11,1144,2-Jul-12,1233,10U,477251,5987142,Hoop Trap L,NSC,5.9,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,30-Jun-11,1033,2-Jul-12,1124,10U,477243,5986804,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,30-Jun-11,1405,2-Jul-12,1454,10U,477747,5987226,Hoop Trap L,NSC,2.2,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,30-Jun-11,1400,2-Jul-12,1449,10U,477496,5987359,Hoop Trap L,NSC,3,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,30-Jun-11,0856,2-Jul-12,0945,10U,477413,5986435,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-91,30-Jun-11,0904,2-Jul-12,0953,10U,477527,5986451,Hoop Trap L,NSC,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,30-Jun-11,0909,2-Jul-12,0959,10U,477682,5986504,Hoop Trap L,NSC,15,15,3,Y,1 of 3,585,1.54,260,N,,N,,D,N,N/A,Y,128,"All sacrificed. Old bait removed, fresh bait added. Trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,30-Jun-11,0909,2-Jul-12,0959,10U,477682,5986504,Hoop Trap L,NSC,15,15,3,Y,2 of 3 ,610,1.76,290,N,,N,,D,N,N/A,Y,129,See above comments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,30-Jun-11,0909,2-Jul-12,0959,10U,477682,5986504,Hoop Trap L,NSC,15,15,3,Y,3 of 3,700,2.47,310,N,,N,,D,N,N/A,Y,130,See above comments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23,30-Jun-11,0920,2-Jul-12,1008,10U,477802,5986621,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,2-Jul-12,1036,4-Jul-11,0925,10U,476807,5986504,Hoop Trap L,NSC,10.8,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,2-Jul-12,1044,4-Jul-11,0932,10U,476866,5986588,Hoop Trap L,NSC,10,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
