Trap #,Date Set,Time Set,Date Pulled ,Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Open/ Closed Funnel (OF/CF) , Bait ,Depth m,Temp C,Secchi Depth,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (MM),Tag applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour,Fate (D/L),Sacrificed (Y/N),Sacrificied Code,Taggged Mortality,Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
11,8-Jun-09,1051,9-Jun-09,1109,10U,476037,5959284,Cod Trap, CF , Salmon/ PCC ,22.9,15,2.1,Y,1,430,0.78,180,Y,FW YELLOW BC02797,N,,L,N,,,"Bait not refreshed, reset same area. Sunny, clear sky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8-Jun-09,1041,9-Jun-09,1100,10U,476278,5959390,Cod Trap, CF , Salmon ,23.8,15,2.1,Y,1,430,0.66,160,Y,FW YELLOW BC02798,N,,L,N,,,"Bait not refreshed, reset same area. Sunny, clear sky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8-Jun-09,1037,9-Jun-09,1050,10U,476546,5959434,Cod Trap, CF , Salmon/ PCC ,23.3,15,2.1,Y,1,466,0.93,190,Y,FW YELLOW BC02799,N,,L,N,,,"Reset same bait, not replaced. Clear sky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8-Jun-09,0848,9-Jun-09,0813,10U,478249,5959301,Cod Trap, OF , Salmon ,6.9,13,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed. Trap moved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8-Jun-09,0853,9-Jun-09,0822,10U,478092,5959397,Cod Trap, OF , Salmon ,5.9,13,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed. Trap moved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8-Jun-09,0857,9-Jun-09,0828,10U,477845,5959403,Cod Trap, OF , Salmon/ PCC ,10.8,13,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed. Trap moved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8-Jun-09,0920,9-Jun-09,0930,10U,477587,5959612,Cod Trap, CF , Salmon ,11.9,13,2.1,N,0,,,,,,,,,,,,"No fish caught, lots of bait, not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8-Jun-09,0927,9-Jun-09,0934,10U,477264,595970,Cod Trap, CF , Salmon ,19.0,13,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8-Jun-09,1026,9-Jun-09,1000,10U,476983,5959353,Cod Trap, OF , Salmon ,24.0,15,2.1,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed. Re-set same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8-Jun-09,1037,9-Jun-09,1008,10U,476764,5959542,Cod Trap, OF , Salmon ,21.9,15,2.1,N,0,,,,,,,,,,,,"No fish caught, lots of bait, not refreshed. Trap moved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
