Trap #,Date Set (mm/dd/yy),Time Set,Date Pulled (mm/dd/yy),Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Bait ,Depth m,Temp C,Secchi Depth m,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (mm),Tag Applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour,Fate (D/L),Decompression Stress (Y/N),Treatment,Sacrificed (Y/N),Sacrificed Code,Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
H-16,28-Jun-11,0837,30-Jun-11,0905,10U,477685,5986508,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23,28-Jun-11,0847,30-Jun-11,0916,10U,477804,5986620,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29-Jun-11,1315,1-Jul-11,1235,10U,476765,5985890,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29-Jun-11,1303,1-Jul-11,1223,10U,476584,5986113,Cod Trap,NSC,16,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,29-Jun-11,1331,1-Jul-11,1249,10U,476933,5985888,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,29-Jun-11,1338,1-Jul-11,1258,10U,477132,5985785,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,29-Jun-11,1310,1-Jul-11,1230,10U,476630,5985946,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29-Jun-11,1002,1-Jul-11,0922,10U,476894,5986194,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,29-Jun-11,0912,1-Jul-11,0832,10U,474833,5986263,Cod Trap,NSC,2.8,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,29-Jun-11,0934,1-Jul-11,0854,10U,476807,5986204,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,29-Jun-11,0855,1-Jul-11,0815,10U,474955,5986212,Cod Trap,NSC,6.2,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,29-Jun-11,0919,1-Jul-11,0840,10U,477274,5985955,Cod Trap,NSC,14,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,29-Jun-11,1413,1-Jul-11,1333,10U,476827,5986314,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,29-Jun-11,0923,1-Jul-11,0843,10U,476614,5986244,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,29-Jun-11,1251,1-Jul-11,1211,10U,475422,5986043,Cod Trap,NSC,7,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,29-Jun-11,0949,1-Jul-11,0908,10U,475652,5986226,Cod Trap,NSC,5.5,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,29-Jun-11,1016,1-Jul-11,0936,10U,476937,5986388,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,29-Jun-11,1048,1-Jul-11,1007,10U,476689,5986416,Cod Trap,NSC,11,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,29-Jun-11,1234,1-Jul-11,1154,10U,476888,5986645,Cod Trap,NSC,7.2,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,29-Jun-11,1040,1-Jul-11,1001,10U,476995,5986214,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,29-Jun-11,1117,1-Jul-11,1037,10U,476067,5986213,Cod Trap,NSC,12,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,29-Jun-11,1221,1-Jul-11,1142,10U,476461,5986383,Cod Trap,NSC,9.4,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,29-Jun-11,1134,1-Jul-11,1055,10U,477058,5986321,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,29-Jun-11,1157,1-Jul-11,1116,10U,477129,5986275,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,29-Jun-11,1402,1-Jul-11,1321,10U,477228,5985842,Cod Trap,NSC,14,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,29-Jun-11,1131,1-Jul-11,1050,10U,476993,5986608,Cod Trap,NSC,13,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,30-Jun-11,0940,2-Jul-12,1030,10U,476809,5986509,Hoop Trap L,NSC,10.2,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,30-Jun-11,0950,2-Jul-12,1038,10U,476863,5986587,Hoop Trap L,NSC,10,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,30-Jun-11,0933,2-Jul-12,1022,10U,476739,5986485,Hoop Trap L,NSC,9.7,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21,30-Jun-11,1000,2-Jul-12,1048,10U,476914,5986493,Hoop Trap L,NSC,13.4,15,3,Y,0,540,1.48,240,Y,Orange FWPG 02613,N,,L,N,ROSB,N,,"Fish vigorous and healthy at release. Old bait removed, fresh bait added. Trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-7,30-Jun-11,1044,2-Jul-12,1135,10U,477605,5986653,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-8,30-Jun-11,1209,2-Jul-12,1258,10U,477594,5987086,Hoop Trap L,NSC,12,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-9,30-Jun-11,1341,2-Jul-12,1429,10U,477592,5986751,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-11,30-Jun-11,1039,2-Jul-12,1128,10U,477461,5986604,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-13,30-Jun-11,0848,2-Jul-12,0940,10U,477265,5986424,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-14,30-Jun-11,1023,2-Jul-12,1112,10U,477277,5986532,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-20,30-Jun-11,1159,2-Jul-12,1248,10U,477721,5986707,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-22,30-Jun-11,1349,2-Jul-12,1438,10U,477645,5986748,Hoop Trap L,NSC,14,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,30-Jun-11,1356,2-Jul-12,1445,10U,477672,5987039,Hoop Trap L,NSC,12,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,30-Jun-11,1051,2-Jul-12,1141,10U,477402,5986897,Hoop Trap L,NSC,13,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,30-Jun-11,1152,2-Jul-12,1242,10U,477395,5987027,Hoop Trap L,NSC,11,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,30-Jun-11,1144,2-Jul-12,1233,10U,477251,5987142,Hoop Trap L,NSC,5.9,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,30-Jun-11,1033,2-Jul-12,1124,10U,477243,5986804,Hoop Trap L,NSC,13,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,30-Jun-11,1405,2-Jul-12,1454,10U,477747,5987226,Hoop Trap L,NSC,2.2,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,30-Jun-11,1400,2-Jul-12,1449,10U,477496,5987359,Hoop Trap L,NSC,3,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,30-Jun-11,0856,2-Jul-12,0945,10U,477413,5986435,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-91,30-Jun-11,0904,2-Jul-12,0953,10U,477527,5986451,Hoop Trap L,NSC,14,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23,30-Jun-11,0920,2-Jul-12,1008,10U,477802,5986621,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1-Jul-11,1245,3-Jul-11,1305,10U,476758,5985883,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1-Jul-11,1230,3-Jul-11,1249,10U,476582,5986116,Cod Trap,NSC,16,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1-Jul-11,1259,3-Jul-11,1320,10U,476935,5985885,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1-Jul-11,1305,3-Jul-11,1324,10U,477136,5985782,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1-Jul-11,1236,3-Jul-11,1257,10U,476631,5985943,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1-Jul-11,0927,3-Jul-11,0948,10U,476898,5986191,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1-Jul-11,0839,3-Jul-11,0901,10U,474835,5986267,Cod Trap,NSC,2.8,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1-Jul-11,0901,3-Jul-11,0922,10U,476803,5986205,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1-Jul-11,0819,3-Jul-11,0840,10U,474952,5986214,Cod Trap,NSC,6.2,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1-Jul-11,0848,3-Jul-11,0909,10U,477271,5985958,Cod Trap,NSC,14,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1-Jul-11,1341,3-Jul-11,1400,10U,476828,5986316,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1-Jul-11,0853,3-Jul-11,0915,10U,476612,5986247,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1-Jul-11,1217,3-Jul-11,1237,10U,475425,5986044,Cod Trap,NSC,7,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1-Jul-11,0915,3-Jul-11,0935,10U,475655,5986228,Cod Trap,NSC,5.5,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1-Jul-11,0944,3-Jul-11,1004,10U,476934,5986385,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1-Jul-11,1016,3-Jul-11,1036,10U,476684,5986413,Cod Trap,NSC,11,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1-Jul-11,1202,3-Jul-11,1221,10U,476883,5986647,Cod Trap,NSC,7.2,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1-Jul-11,1009,3-Jul-11,1030,10U,476992,5986217,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1-Jul-11,1150,3-Jul-11,1210,10U,476466,5986389,Cod Trap,NSC,9.4,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1-Jul-11,1103,3-Jul-11,1122,10U,477056,5986323,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1-Jul-11,1121,3-Jul-11,1142,10U,477127,5986274,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1-Jul-11,1329,3-Jul-11,1348,10U,477224,5985843,Cod Trap,NSC,14,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-17,2-Jul-11,1109,4-Jul-11,0958,10U,476987,5986526,Hoop Trap L,NSC,13,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,2-Jul-11,1027,4-Jul-11,0916,10U,476737,5986482,Hoop Trap L,NSC,9.4,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-7,2-Jul-11,1143,4-Jul-11,1034,10U,477608,5986652,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-8,2-Jul-11,1304,4-Jul-11,1154,10U,477599,5987087,Hoop Trap L,NSC,12,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-9,2-Jul-11,1435,4-Jul-11,1325,10U,477596,5986753,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-11,2-Jul-11,1134,4-Jul-11,1023,10U,477463,5986606,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-13,2-Jul-11,0946,4-Jul-11,0837,10U,477267,5986422,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-14,2-Jul-11,1117,4-Jul-11,1006,10U,477273,5986535,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-20,2-Jul-11,1254,4-Jul-11,1145,10U,477724,5986706,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-22,2-Jul-11,1443,4-Jul-11,1333,10U,477648,5986745,Hoop Trap L,NSC,14,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,2-Jul-11,1146,4-Jul-11,1036,10U,477403,5986893,Hoop Trap L,NSC,13,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,2-Jul-11,1249,4-Jul-11,1131,10U,477398,5987022,Hoop Trap L,NSC,11,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,2-Jul-11,1239,4-Jul-11,1128,10U,477254,5987144,Hoop Trap L,NSC,5.8,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,2-Jul-11,1131,4-Jul-11,1022,10U,477246,5986805,Hoop Trap L,NSC,13,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,2-Jul-11,1459,4-Jul-11,1348,10U,477743,5987222,Hoop Trap L,NSC,2,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,2-Jul-11,1454,4-Jul-11,1344,10U,477492,5987357,Hoop Trap L,NSC,3,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,2-Jul-11,0951,4-Jul-11,0842,10U,477415,5986433,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-91,2-Jul-11,0959,4-Jul-11,0848,10U,477528,5986454,Hoop Trap L,NSC,14,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,2-Jul-11,1006,4-Jul-11,0857,10U,477684,5986507,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23,2-Jul-11,1013,4-Jul-11,0903,10U,477807,5986623,Hoop Trap L,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3-Jul-11,1315,5-Jul-11,1400,10U,476751,5985887,Cod Trap,NSC,14.8,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3-Jul-11,1301,5-Jul-11,1345,10U,476588,5986119,Cod Trap,NSC,16,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3-Jul-11,1329,5-Jul-11,1414,10U,476939,5985884,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3-Jul-11,1333,5-Jul-11,1421,10U,477131,5985789,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3-Jul-11,1306,5-Jul-11,1358,10U,476639,5985946,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3-Jul-11,0957,5-Jul-11,1042,10U,476892,5986198,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3-Jul-11,0912,5-Jul-11,0957,10U,474831,5986263,Cod Trap,NSC,2.5,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3-Jul-11,0932,5-Jul-11,0917,10U,476809,5986201,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3-Jul-11,0851,5-Jul-11,0936,10U,474959,5986217,Cod Trap,NSC,7.1,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3-Jul-11,0919,5-Jul-11,1004,10U,477279,5985955,Cod Trap,NSC,14,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3-Jul-11,1411,5-Jul-11,1456,10U,476822,5986312,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3-Jul-11,0924,5-Jul-11,1010,10U,476618,5986242,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
