Trap #,Date Set (mm/dd/yy),Time Set,Date Pulled (mm/dd/yy),Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Bait ,Depth m,Temp C,Secchi Depth m,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (mm),Tag Applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour,Fate (D/L),Decompression Stress (Y/N),Treatment,Sacrificed (Y/N),Sacrificed Code,Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
H-10,24-Jun-11,0811,26-Jun-11,0933,10U,476814,5986492,Hoop Trap L,NSC,10,13,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,24-Jun-11,0834,26-Jun-11,0939,10U,476867,5986580,Hoop Trap L,NSC,10,13,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-17,24-Jun-11,0845,26-Jun-11,0953,10U,476989,5986520,Hoop Trap L,NSC,13,13,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. No Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,24-Jun-11,0800,26-Jun-11,0924,10U,476733,5986498,Hoop Trap L,NSC,9,14,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21,24-Jun-11,0822,26-Jun-11,0945,10U,476913,5986506,Hoop Trap L,NSC,13,13,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. No Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25-Jun-11,1315,27-Jun-11,1205,10U,476751,5985888,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25-Jun-11,1303,27-Jun-11,1153,10U,476581,5986117,Cod Trap,NSC,16,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25-Jun-11,1331,27-Jun-11,1222,10U,476933,5985882,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,25-Jun-11,1309,27-Jun-11,1159,10U,476630,5985944,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,25-Jun-11,0854,27-Jun-11,0758,10U,474832,5986262,Cod Trap,NSC,2,14,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,25-Jun-11,0859,27-Jun-11,0800,10U,477279,5985952,Cod Trap,NSC,14,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25-Jun-11,0919,27-Jun-11,0809,10U,476619,5986249,Cod Trap,NSC,15,14,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,25-Jun-11,1249,27-Jun-11,1138,10U,475428,5986040,Cod Trap,NSC,6.4,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,25-Jun-11,0948,27-Jun-11,0840,10U,475652,5986227,Cod Trap,NSC,5.1,14,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,25-Jun-11,1016,27-Jun-11,0907,10U,476935,5986386,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,25-Jun-11,1237,27-Jun-11,1128,10U,476636,5986353,Cod Trap,NSC,13,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,25-Jun-11,1230,27-Jun-11,1122,10U,476888,5986644,Cod Trap,NSC,6.9,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,25-Jun-11,1030,27-Jun-11,0931,10U,476996,5986214,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,25-Jun-11,1113,27-Jun-11,1005,10U,476067,5986215,Cod Trap,NSC,12,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,25-Jun-11,1223,27-Jun-11,1112,10U,476465,5986384,Cod Trap,NSC,9.6,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,25-Jun-11,1138,27-Jun-11,1026,10U,477055,5986319,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,25-Jun-11,1150,27-Jun-11,1050,10U,477126,5986276,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25-Jun-11,1348,27-Jun-11,1249,10U,477226,5985842,Cod Trap,NSC,14,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25-Jun-11,1122,27-Jun-11,1021,10U,476996,5986607,Cod Trap,NSC,13,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,26-Jun-11,0938,28-Jun-11,0900,10U,476802,5986508,Hoop Trap L,NSC,10,14,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,26-Jun-11,0943,28-Jun-11,0909,10U,476865,5986593,Hoop Trap L,NSC,10,14,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,26-Jun-11,0929,28-Jun-11,0852,10U,476733,5986488,Hoop Trap L,NSC,9.7,14,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21,26-Jun-11,0949,28-Jun-11,0918,10U,476918,5986471,Hoop Trap L,NSC,13,14,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27-Jun-11,1214,29-Jun-11,1310,10U,476762,5985888,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,27-Jun-11,1201,29-Jun-11,1257,10U,476587,5986115,Cod Trap,NSC,16,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27-Jun-11,1230,29-Jun-11,1326,10U,476938,5985883,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27-Jun-11,1236,29-Jun-11,1332,10U,477136,5985784,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
