Trap #,Date Set,Time Set,Date Pulled,Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Bait ,Depth m,Temp C,Secchi Depth m,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (mm),Tag applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour2,Fate (D/L),Decompression Stress (Y/N),Treatment,Sacrificed (Y/N),Sacrificied Code,Comments,Sp.,No.L,No.D,Len,Len3,Len4,Len5,Len6,Sp.7,No.L8,No.D9,Len10,Len11,Len12,Len13,Len14,Sp.15,No.L16,No.D17,Len18,Len19,Len20,Len21,Len22,Sp.23,No.L24,No.D25,Len26,Len27,Len28,Len29,Len30,Sp.31,No.L32,No.D33,Len34,Len35,Len36
H-23,13-Oct-10,0848,15-Oct-10,1209,10U,476926,5986342,Hoop Trap L, 2 Chunks of LSU ,15.0,12,2,N,0,,,,,,,,,,,,,NFC. Old bait removed on 10/15/10. Trap reset in same general location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,13-Oct-10,1045,15-Oct-10,1422,10U,477409,5986843,Hoop Trap L, 4 Chunks of NSC ,14.0,12,2,N,0,,,,,,,,,,,,,NFC. Old bait removed on 10/15/10. Trap reset in same general location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,13-Oct-10,1052,15-Oct-10,1338,10U,475564,5986608,Hoop Trap L, 3 Chunks of NSC ,15.0,12,2,N,0,,,,,,,,,,,,,NFC. Old bait removed on 10/15/10. Trap reset in same general location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,13-Oct-10,0925,15-Oct-10,1233,10U,477005,5986690,Hoop Trap L, 4 Chunks of NSC ,10.0,12,2,Y,1,660,1.73,260,Y,Orange FWPG 2193,N,,L,N,ROSB,N,,Old bait removed on 10/15/10. Trap reset in same general location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,13-Oct-10,0854,15-Oct-10,1216,10U,477082,5986329,Hoop Trap L, 2 Chunks of LSU ,15.0,12,2,Y,2 of 2,590,1.43,250,N,,N,,L,N,,Y,121,See above comments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,13-Oct-10,1002,15-Oct-10,1318,10U,477524,5986518,Hoop Trap L, 3 Chunks of NSC ,15.0,12,2,N,0,,,,,,,,,,,,,NFC. Old bait removed on 10/15/10. Trap reset in same general location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,13-Oct-10,1115,15-Oct-10,1409,10U,477733,5987232,Hoop Trap L, 4 Chunks of NSC ,3.0,12,2,N,0,,,,,,,,,,,,,Old bait removed on 10/15/10. Trap reset in same general location.,CAS,2,0,25,35,,,,CSU,1,0,400,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,13-Oct-10,1223,15-Oct-10,1111,10U,474799,5986196,Hoop Trap L, 2 NSC ,5.6,12,2,N,0,,,,,,,,,,,,,"NFC. Old bait removed on 10/15/10. Trap reset in same general location. Sunny, strong winds out of west, 3ft. Waves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,13-Oct-10,1205,15-Oct-10,1436,10U,478448,5987499,Hoop Trap L, 3 Chunks of NSC ,4.8,12,2,N,0,,,,,,,,,,,,,Old bait removed on 10/15/10. Trap reset in same general location.,RSC,1,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,13-Oct-10,1036,15-Oct-10,1352,10U,478445,5987347,Hoop Trap L, 3 Chunks of NSC ,2.2,12,2,Y,1,230,0.29,80,N,,N,,L,N,,Y,123,Old bait removed on 10/15/10. Trap reset in same general location.,NSC,2,0,125,90,,,,CAS,4,0,20,30,25,40,,,,,,,,,,,,,,,,,,,,,,,
